GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2002,2002,2002,WPR,Western Pacific,PHL,Philippines,,,,46360.0,46 360,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2016,2016,2016,WPR,Western Pacific,PHL,Philippines,,,,46.18,46.18,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2008,2008,2008,WPR,Western Pacific,PHL,Philippines,,,,1891.0,1891,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2006,2006,2006,WPR,Western Pacific,PHL,Philippines,,,,108640.0,108 640,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2001,2001,2001,WPR,Western Pacific,PHL,Philippines,,,,97206.0,97 206,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2008,2008,2008,WPR,Western Pacific,PHL,Philippines,,,,465608.0,465 608,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,2.27,2.27,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2002,2002,2002,WPR,Western Pacific,PHL,Philippines,,,,90370.0,90 370,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2020,2020,2020,WPR,Western Pacific,PHL,Philippines,,,,47.81,47.81,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2007,2007,2007,WPR,Western Pacific,PHL,Philippines,,,,111233.0,111 233,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2000,2000,2000,WPR,Western Pacific,PHL,Philippines,,,,1.08,1.08,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2013,2013,2013,WPR,Western Pacific,PHL,Philippines,,,,58598.0,58 598,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2021,2021,2021,WPR,Western Pacific,PHL,Philippines,,,,53498.0,53 498,,
HWF_0019,Medical and Pathology Laboratory scientists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-scientists-%28number%29,2019,2019,2019,WPR,Western Pacific,PHL,Philippines,,,,53922.0,53 922,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2003,2003,2003,WPR,Western Pacific,PHL,Philippines,,,,12.01,12.01,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2011,2011,2011,WPR,Western Pacific,PHL,Philippines,,,,315958.0,315 958,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2002,2002,2002,WPR,Western Pacific,PHL,Philippines,,,,5.2,5.2,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2013,2013,2013,WPR,Western Pacific,PHL,Philippines,,,,433034.0,433 034,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2021,2021,2021,WPR,Western Pacific,PHL,Philippines,,,,2.51,2.51,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2010,2010,2010,WPR,Western Pacific,PHL,Philippines,,,,5.43,5.43,,
